Summary,Issue key,Component/s,Component/s,Component/s,Component/s,Description
NN -> JN communication should use reusable authentication methods,HDFS-7580,journal-node,namenode,,,"It appears that NNs talk to JNs via general SaslRPC in secure mode, causing all requests to be carried out with a kerberos authentication. This can cause delays and occasionally NN failures if the KDC used does not respond in its default timeout period (30s, whereas the QJM writes come with default of 20s)."
HDFS dangerously uses @Beta methods from very old versions of Guava,HDFS-7040,,,,,"HDFS uses LimitInputStream from Guava. This was introduced as @Beta and is risky for any application to use.

The problem is further exacerbated by Hadoop's dependency on Guava version 11.0.2, which is quite old for an active project (Feb. 2012).

Because Guava is very stable, projects which depend on Hadoop and use Guava themselves, can use up through Guava version 14.x

However, in version 14, Guava deprecated LimitInputStream and provided a replacement. Because they make no guarantees about compatibility about @Beta classes, they removed it in version 15.

What should be done: Hadoop should updated its dependency on Guava to at least version 14 (currently Guava is on version 19). This should have little impact on users, because Guava is so stable.

HDFS should then be patched to use the provided alternative to LimitInputStream, so that downstream packagers, users, and application developers requiring more recent versions of Guava (to fix bugs, to use new features, etc.) will be able to swap out the Guava dependency without breaking Hadoop.

Alternative: While Hadoop cannot predict the marking and removal of deprecated code, it can, and should, avoid the use of @Beta classes and methods that do not offer guarantees. If the dependency cannot be bumped, then it should be relatively trivial to provide an internal class with the same functionality, that does not rely on the older version of Guava."
start-dfs.sh does not start remote DataNode due to escape characters,HDFS-6239,scripts,,,,"start-dfs.sh fails to start remote data nodes and task nodes, though it is possible to start them manually through hadoop-daemon.sh.

I've been able to debug and find the root cause the bug, and I thought it was a trivial fix, but I do not know how to do it. Can't figure out a way to handle this seemingly trivial bug.

hadoop-daemons.sh calls slave.sh:

exec ""$bin/slaves.sh"" --config $HADOOP_CONF_DIR cd ""$HADOOP_HOME"" \; ""$bin/hadoop-daemon.sh"" --config $HADOOP_CONF_DIR ""$@""

This is the issue when I debug using bash -x: In slaves.sh, the \; becomes ';'

+ ssh xxxx.xx.xxxx.xxx cd /afs/xx.xxxx.xxx/x/x/x/xx/xxxxx/libexec/.. ';' /afs/xx.xxxx.xxx/x/x/x/xx/xxxx/bin/hadoop-daemon.sh --config /afs/xx.xxxx.xxx/x/x/x/xx/xxxx/libexec/../conf start datanode

The problem is ';' . Because the semi-colon is surrounded by quotes, it doesn't execute the code after that. I manually ran the above command, and as expected the data node did not start. When I removed the quotes around the semi-colon, everything works. Please note that you can see the issue only when you do bash -x. If you echo the statement, the quotes around the semi-colon are not visible.

This issue is always reproducible for me, and because of it, I have to manually start daemons on each machine. "
we should add a wait for non-safe mode and call dfsadmin -report in start-dfs,HDFS-2256,scripts,,,,I think we should add a call to wait for safe mode exit and print the dfs report to show upgrades that are in progress.
NameNode: implement Global ACL Set as a memory optimization.,HDFS-5620,namenode,,,,The {{AclManager}} can maintain a Global ACL Set to store all distinct ACLs in use by the file system.  All inodes that have the same ACL entries can share the same ACL instance.
Disable check for jsvc on windows,HDFS-3749,datanode,,,,Jsvc doesn't make sense on windows and thus we should not require the datanode to start up under it on that platform.
Remove unused TokenRenewer implementation from WebHdfsFileSystem and HftpFileSystem,HDFS-4010,,,,,"WebHdfsFileSystem and HftpFileSystem implement TokenRenewer without using anywhere.

As we are in the process of migrating them to not use tokens, this code should be removed."
WebHdfsFileSystem and HftpFileSystem don't need delegation tokens,HDFS-4009,,,,,"Parent JIRA to track the work of removing delegation tokens from these filesystems. 

This JIRA has evolved from the initial issue of these filesystems not stopping the DelegationTokenRenewer thread they were creating.

After further investigation, Daryn pointed out - ""If you can get a token, you don't need a token""! Hence, these filesystems shouldn't use delegation tokens.

Evolution of the JIRA is listed below:
Update 2:
DelegationTokenRenewer is not required. The filesystems that are using it already have Krb tickets and do not need tokens. Remove DelegationTokenRenewer and all the related logic from WebHdfs and Hftp filesystems.

Update1:
DelegationTokenRenewer should be Singleton - the instance and renewer threads should be created/started lazily. The filesystems using the renewer shouldn't need to explicity start/stop the renewer, and only register/de-register for token renewal.

Initial issue:
HftpFileSystem and WebHdfsFileSystem should stop the DelegationTokenRenewer thread when they are closed. "
Add configurable maximum block count for datanode,HDFS-6088,,,,,"Currently datanode resources are protected by the free space check and the balancer.  But datanodes can run out of memory simply storing too many blocks. If the sizes of blocks are small, datanodes will appear to have plenty of space to put more blocks.

I propose adding a configurable max block count to datanode. Since datanodes can have different heap configurations, it will make sense to make it datanode-level, rather than something enforced by namenode."
getBlockLocationsUpdateTimes missing handle exception may cause fsLock dead lock,HDFS-7253,namenode,,,,"One day my active namenode hanged and I dumped the program stacks by jstack.In the stacks file, I saw most threads were waiting FSNamesystem.fsLock, both  readLock and writeLock were unacquirable, but no thread was holding writeLock.
I tried to access the web interface of this namenode but was blocked. and I tried to failover the active node to another namenode manually (zkfs did not discover this node was hanging) but it was also failed. So I killed this namenode trying to recover the production environment, then the failover was triggered, standby nn transited to active, and then, the new active namenode hanged.
My following steps are useless and can be ignored. At last, I thought it was caused by an incorrect lock handling in FSNamesystem.getBlockLocationsUpdateTimes, which I will describe in the first comment.
"
TestWebHdfsFileSystemContract fails occassionally,HDFS-7070,webhdfs,,,,"org.apache.hadoop.hdfs.web.TestWebHdfsFileSystemContract.testResponseCode
and  org.apache.hadoop.hdfs.web.TestWebHdfsFileSystemContract.testRenameDirToSelf 
failed recently.

Need to determine whether it's  introduced by some latest code change due to file descriptor leak; or it's a similar issue as HDFS-6694 reported.


E.g. https://builds.apache.org/job/PreCommit-HDFS-Build/8026/testReport/org.apache.hadoop.hdfs.web/TestWebHdfsFileSystemContract/testResponseCode/.

{code}
2014-09-15 12:52:18,866 INFO  datanode.DataNode (DataXceiver.java:writeBlock(749)) - opWriteBlock BP-23833599-67.195.81.147-1410785517350:blk_1073741827_1461 received exception java.io.IOException: Cannot run program ""stat"": java.io.IOException: error=24, Too many open files
2014-09-15 12:52:18,867 ERROR datanode.DataNode (DataXceiver.java:run(243)) - 127.0.0.1:47221:DataXceiver error processing WRITE_BLOCK operation  src: /127.0.0.1:38112 dst: /127.0.0.1:47221
java.io.IOException: Cannot run program ""stat"": java.io.IOException: error=24, Too many open files
	at java.lang.ProcessBuilder.start(ProcessBuilder.java:470)
	at org.apache.hadoop.util.Shell.runCommand(Shell.java:485)
	at org.apache.hadoop.util.Shell.run(Shell.java:455)
	at org.apache.hadoop.util.Shell$ShellCommandExecutor.execute(Shell.java:702)
	at org.apache.hadoop.fs.HardLink.getLinkCount(HardLink.java:495)
	at org.apache.hadoop.hdfs.server.datanode.ReplicaInfo.unlinkBlock(ReplicaInfo.java:288)
	at org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl.append(FsDatasetImpl.java:702)
	at org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl.append(FsDatasetImpl.java:680)
	at org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl.append(FsDatasetImpl.java:101)
	at org.apache.hadoop.hdfs.server.datanode.BlockReceiver.<init>(BlockReceiver.java:193)
	at org.apache.hadoop.hdfs.server.datanode.DataXceiver.writeBlock(DataXceiver.java:604)
	at org.apache.hadoop.hdfs.protocol.datatransfer.Receiver.opWriteBlock(Receiver.java:126)
	at org.apache.hadoop.hdfs.protocol.datatransfer.Receiver.processOp(Receiver.java:72)
	at org.apache.hadoop.hdfs.server.datanode.DataXceiver.run(DataXceiver.java:225)
	at java.lang.Thread.run(Thread.java:662)
Caused by: java.io.IOException: java.io.IOException: error=24, Too many open files
	at java.lang.UNIXProcess.<init>(UNIXProcess.java:148)
	at java.lang.ProcessImpl.start(ProcessImpl.java:65)
	at java.lang.ProcessBuilder.start(ProcessBuilder.java:452)
	... 14 more
2014-09-15 12:52:18,867 INFO  hdfs.DFSClient (DFSOutputStream.java:createBlockOutputStream(1400)) - Exception in createBlockOutputStream
java.io.EOFException: Premature EOF: no length prefix available
	at org.apache.hadoop.hdfs.protocolPB.PBHelper.vintPrefixed(PBHelper.java:2101)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.createBlockOutputStream(DFSOutputStream.java:1368)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.setupPipelineForAppendOrRecovery(DFSOutputStream.java:1210)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.run(DFSOutputStream.java:530)
2014-09-15 12:52:18,870 WARN  hdfs.DFSClient (DFSOutputStream.java:run(883)) - DFSOutputStream ResponseProcessor exception  for block BP-23833599-67.195.81.147-1410785517350:blk_1073741827_1461
java.lang.NullPointerException
	at org.apache.hadoop.hdfs.protocolPB.PBHelper.vintPrefixed(PBHelper.java:2099)
	at org.apache.hadoop.hdfs.protocol.datatransfer.PipelineAck.readFields(PipelineAck.java:176)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer$ResponseProcessor.run(DFSOutputStream.java:798)
2014-09-15 12:52:18,870 WARN  hdfs.DFSClient (DFSOutputStream.java:run(627)) - DataStreamer Exception
java.lang.NullPointerException
	at org.apache.hadoop.hdfs.DFSOutputStream$Packet.writeTo(DFSOutputStream.java:273)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.run(DFSOutputStream.java:579)
{code}


"
Tests fail on windows due to BindException.,HDFS-11,,,,,"On Windows a series of tests fail starting from {{TestAbandonBlock}}.
The reason is that name-nodes or data-nodes cannot start because of the ""BindException: Address already in use: connect"".
Seems like some of the tests that run before {{TestAbandonBlock}} are not releasing resources or not closing sockets."
setLowResourceMaxIdleTime(10000) in HttpServer2 is dead,HDFS-7234,,,,,"In HttpSever2.java, the code call {{ret.setLowResourceMaxIdleTime(10000);}} but it does not set the {{LowResourceConnections}} in jetty, thus the setting becomes useless."
Fix incorrect layout version caused by bad merge,HDFS-7160,namenode,,,,The layout version was not correctly updated while merging from trunk.
Implement compression in the HTTP server of SNN / SBN instead of FSImage,HDFS-5722,,,,,"The current FSImage format support compression, there is a field in the header which specifies the compression codec used to compress the data in the image. The main motivation was to reduce the number of bytes to be transferred between SNN / SBN / NN.

The main disadvantage, however, is that it requires the client to access the FSImage in strictly sequential order. This might not fit well with the new design of FSImage. For example, serializing the data in protobuf allows the client to quickly skip data that it does not understand. The compression built-in the format, however, complicates the calculation of offsets and lengths. Recovering from a corrupted, compressed FSImage is also non-trivial as off-the-shelf tools like bzip2recover is inapplicable.

This jira proposes to move the compression from the format of the FSImage to the transport layer, namely, the HTTP server of SNN / SBN. This design simplifies the format of FSImage, opens up the opportunity to quickly navigate through the FSImage, and eases the process of recovery. It also retains the benefits of reducing the number of bytes to be transferred across the wire since there are compression on the transport layer.

"
the shell script error for Cygwin on windows7,HDFS-4198,scripts,,,,See the following [comment|https://issues.apache.org/jira/browse/HDFS-4198?focusedCommentId=13498818&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-13498818] for detailed description.
Can namenode recover from a edit log file?,HDFS-7043,auto-failover,,,,"I have delete all the data dir on the namenode,causing lost of all the data.
I can only recover a edit.new file from the disk, whtich is quite huge(12GB),
Maybe most of recent operation is on the edit log
Is it possible to recover data from this edit log file?

Try to add all the file or direcotry on every edit log to recover the filesystem?

anyone could help?
many thx"
Refactor Raid so it can work better with new erasure codes,HDFS-3543,contrib/raid,,,,"Refactor Raid so it can work with
https://issues.apache.org/jira/browse/MAPREDUCE-3361"
Path#makeQualified copies authority when scheme does not match,HDFS-7031,hdfs-client,,,,"I have an application that calls {{makeQualified}} that amounts to this:

{code:java}
new Path(""file:/some/local/path"").makeQualified(
    URI.create(""hdfs://nn:8020""), new Path(""/""));
{code}

This unexpectedly produces {{file://nn:8020/some/local/path}}, using the authority section from the default URI even though the path that is being qualified doesn't have a scheme that matches the default URI.

In {{Path}}, there is a check to see if the default URI should be used:
{code:java}
    if (scheme != null &&
        (authority != null || defaultUri.getAuthority() == null))
      return path;
{code}

I think this should be:
{code:java}
    // if the scheme matches and there is no authority, use the default
    if (scheme != null && scheme.equals(defaultUri.getScheme()) &&
        (authority != null || defaultUri.getAuthority() == null))
      return path;
{code}
"
Stub implementation of getrlimit for Windows.,HDFS-5204,,,,,The HDFS-4949 feature branch adds a JNI wrapper over the {{getrlimit}} function.  This function does not exist on Windows.  We need to provide a stub implementation so that the codebase can compile on Windows.
Update datanode replacement policy to make writes more robust,HDFS-6016,datanode,ha,hdfs-client,namenode,"As discussed in HDFS-5924, writers that are down to only one node due to node failures can suffer if a DN does not restart in time. We do not worry about writes that began with single replica. "
